序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,指数代码,指数名称,category
1,000037,上证医药,7214.55,3.15,220.13,10102512,44936006531.0,3.46,7244.48,7002.32,7002.81,6994.42,1.04,000037,上证医药,上证系列指数
2,000977,内地低碳,1763.98,3.05,52.26,38459236,98672800612.0,4.26,1785.92,1713.06,1716.79,1711.72,1.25,000977,内地低碳,上证系列指数
3,000941,新能源,2071.87,2.93,58.88,30119113,89232744283.0,4.7,2102.99,2008.34,2015.28,2012.99,1.24,000941,新能源,上证系列指数
4,000823,800有色,8208.29,2.86,228.54,48482361,100650915723.0,3.02,8258.37,8017.74,8035.69,7979.75,1.18,000823,800有色,上证系列指数
5,000814,细分医药,9357.76,2.8,254.61,13146357,49941866852.7,3.42,9408.74,9097.77,9097.77,9103.15,1.06,000814,细分医药,上证系列指数
6,000841,800医药,9393.49,2.77,253.14,13196259,52201302405.0,3.42,9444.7,9131.67,9133.41,9140.35,1.0,000841,800医药,上证系列指数
7,000913,300医药,9376.04,2.75,250.83,9372566,40250467640.9,3.4,9417.28,9106.61,9106.61,9125.21,1.2,000913,300医药,上证系列指数
8,000819,有色金属,7116.63,2.72,188.69,51801360,109616025816.0,3.05,7170.99,6959.99,6972.44,6927.94,1.18,000819,有色金属,上证系列指数
9,000811,细分有色,8530.43,2.7,224.22,52479874,102952090129.0,2.93,8590.95,8347.83,8360.77,8306.21,1.19,000811,细分有色,上证系列指数
10,000863,CS精准医,3051.8,2.69,79.94,7932122,41921626284.0,4.85,3090.51,2946.45,2969.39,2971.86,1.1,000863,CS精准医,上证系列指数
11,000807,食品饮料,20326.43,2.65,524.75,10790367,47909046904.0,2.4,20437.2,19962.52,19962.52,19801.68,1.12,000807,食品饮料,上证系列指数
12,000812,细分机械,6639.23,2.58,167.09,39058537,107601271820.0,3.8,6715.36,6469.51,6487.57,6472.14,1.13,000812,细分机械,上证系列指数
13,000815,细分食品,21037.98,2.57,526.93,12034352,47292598002.0,2.36,21156.29,20672.05,20672.05,20511.05,1.18,000815,细分食品,上证系列指数
14,000069,消费80,5263.76,2.55,130.9,29745548,108371729786.0,2.34,5274.64,5154.77,5154.77,5132.86,1.02,000069,消费80,上证系列指数
15,000692,科创新能,1068.77,2.55,26.62,9734099,22907486189.0,4.13,1072.86,1029.81,1043.76,1042.15,1.18,000692,科创新能,上证系列指数
16,000827,中证环保,1588.18,2.46,38.14,53567012,127336172224.6,3.67,1606.76,1549.9,1553.61,1550.04,1.17,000827,中证环保,上证系列指数
17,000912,300消费,22911.08,2.39,534.32,6114685,36257157098.0,2.0,22966.87,22518.44,22518.44,22376.76,1.32,000912,300消费,上证系列指数
18,000145,优势资源,6766.32,2.3,152.15,38752625,81359471262.0,2.23,6800.61,6652.87,6664.9,6614.17,1.15,000145,优势资源,上证系列指数
19,000071,材料等权,4114.24,2.25,90.71,66099811,97459964825.0,2.21,4123.29,4034.39,4046.39,4023.53,1.04,000071,材料等权,上证系列指数
20,000683,科创生物,1265.0,2.21,27.39,3505088,21943935010.0,4.42,1281.68,1227.01,1240.81,1237.61,1.03,000683,科创生物,上证系列指数
21,000990,全指消费,14177.83,2.21,306.85,13060522,53163383305.0,2.06,14237.61,13951.28,13951.28,13870.98,1.02,000990,全指消费,上证系列指数
22,000147,优势消费,7408.38,2.15,155.87,12090909,51157013170.0,2.18,7435.45,7277.18,7277.18,7252.51,1.08,000147,优势消费,上证系列指数
23,000805,A股资源,5804.31,2.15,122.38,52362266,94497156298.0,1.87,5818.38,5711.93,5711.93,5681.93,1.16,000805,A股资源,上证系列指数
24,000910,300工业,2322.08,2.11,48.0,70999573,132177546808.0,3.28,2347.37,2272.67,2277.41,2274.08,1.31,000910,300工业,上证系列指数
25,000036,上证消费,11774.32,2.09,240.77,7222723,31370523770.0,2.03,11863.13,11628.94,11628.94,11533.55,1.12,000036,上证消费,上证系列指数
26,000909,300材料,3210.76,2.08,65.51,56903811,80652940586.0,2.4,3241.5,3166.14,3166.27,3145.25,1.07,000909,300材料,上证系列指数
27,000103,沪消费品,8781.43,2.07,178.08,10832836,56862073102.0,2.22,8801.77,8610.96,8610.96,8603.35,1.02,000103,沪消费品,上证系列指数
28,000933,中证医药,9167.42,2.07,186.34,19958022,69773254534.7,2.71,9213.86,8970.44,8970.45,8981.08,0.97,000933,中证医药,上证系列指数
29,000932,中证消费,16991.46,2.06,342.91,11134980,45164255252.3,2.0,17069.09,16736.91,16736.91,16648.55,1.02,000932,中证消费,上证系列指数
30,000944,内地资源,4160.68,2.03,82.63,52238489,101046027327.0,1.85,4185.28,4109.94,4109.94,4078.05,1.18,000944,内地资源,上证系列指数
31,000961,中证上游,3963.85,2.0,77.8,51718767,94864768249.0,1.99,3990.84,3913.57,3913.57,3886.05,1.18,000961,中证上游,上证系列指数
32,000808,医药生物,9431.74,1.97,181.8,22298215,75584973378.0,2.61,9484.56,9243.17,9244.93,9249.94,0.92,000808,医药生物,上证系列指数
33,000991,全指医药,9911.49,1.95,189.29,23430452,80735701856.1,2.58,9968.19,9717.79,9718.8,9722.2,0.93,000991,全指医药,上证系列指数
34,000033,上证材料,3019.79,1.94,57.41,66099811,97459964825.0,2.18,3040.96,2976.27,2982.68,2962.38,1.04,000033,上证材料,上证系列指数
35,000929,800材料,3630.32,1.93,68.81,99189648,155793182399.0,1.88,3650.55,3583.5,3585.19,3561.51,1.04,000929,800材料,上证系列指数
36,000918,300成长,4721.48,1.88,87.02,69391121,326591266040.0,2.83,4748.16,4617.0,4626.14,4634.46,1.22,000918,300成长,上证系列指数
37,000105,380材料,4860.88,1.87,89.11,27407342,40716147871.0,1.85,4866.74,4778.61,4788.2,4771.77,1.26,000105,380材料,上证系列指数
38,000930,800工业,3160.6,1.81,56.31,126600390,237691656341.0,2.81,3191.96,3104.88,3112.29,3104.29,1.16,000930,800工业,上证系列指数
39,000068,上证资源,3398.38,1.81,60.37,46122155,87520951276.0,1.85,3417.77,3355.97,3359.44,3338.01,1.15,000068,上证资源,上证系列指数
40,000096,上证下游,4575.28,1.75,78.79,69854138,160500639981.0,1.61,4581.92,4509.59,4509.59,4496.49,0.95,000096,上证下游,上证系列指数
41,000094,上证上游,3700.74,1.75,63.72,45746348,86956233391.0,1.84,3728.45,3661.6,3662.77,3637.02,1.15,000094,上证上游,上证系列指数
42,000987,全指材料,4111.58,1.73,69.74,126303422,189696715880.5,1.77,4134.12,4062.56,4066.21,4041.84,1.01,000987,全指材料,上证系列指数
43,000126,消费50,8645.58,1.72,145.92,22195195,72585515059.0,1.61,8691.05,8553.93,8553.93,8499.66,1.01,000126,消费50,上证系列指数
44,000854,500原料,5074.85,1.71,85.42,42285837,75140241813.0,1.31,5076.36,5011.1,5022.35,4989.43,1.0,000854,500原料,上证系列指数
45,000092,资源50,4136.3,1.63,66.21,48810233,96302468212.0,1.73,4160.33,4089.85,4093.09,4070.09,1.13,000092,资源50,上证系列指数
46,000988,全指工业,3725.57,1.6,58.58,176358229,325806762324.0,2.61,3759.71,3664.08,3674.48,3666.99,1.09,000988,全指工业,上证系列指数
47,000074,消费等权,7535.79,1.6,118.68,7222723,31370523770.0,1.89,7594.1,7453.58,7453.58,7417.11,1.12,000074,消费等权,上证系列指数
48,000066,上证商品,3114.22,1.59,48.61,69096624,96056026337.0,1.45,3124.6,3080.16,3081.93,3065.61,1.08,000066,上证商品,上证系列指数
49,000813,细分化工,3190.15,1.52,47.68,20700354,37359097249.0,2.14,3215.29,3148.06,3148.06,3142.47,0.86,000813,细分化工,上证系列指数
50,000028,180成长,3750.91,1.52,56.03,55909979,186637669379.0,1.75,3759.51,3694.99,3694.99,3694.88,1.24,000028,180成长,上证系列指数
51,000853,CSSW丝路,1537.86,1.51,22.84,37608777,190957022038.0,2.13,1542.7,1510.47,1512.95,1515.02,1.13,000853,CSSW丝路,上证系列指数
52,000102,沪投资品,6563.21,1.47,94.84,45114143,101038381978.0,1.67,6597.31,6489.03,6497.14,6468.37,1.13,000102,沪投资品,上证系列指数
53,000979,大宗商品,5929.13,1.47,86.13,103943719,154812950133.0,1.21,5943.79,5873.29,5873.29,5843.0,1.09,000979,大宗商品,上证系列指数
54,000026,180资源,4488.95,1.46,64.76,24922157,56766889786.0,1.7,4533.0,4457.95,4457.95,4424.19,1.17,000026,180资源,上证系列指数
55,000171,新兴成指,1720.38,1.38,23.48,58332921,334419378400.0,3.1,1727.99,1675.33,1692.98,1696.9,1.03,000171,新兴成指,上证系列指数
56,000057,全指成长,3720.34,1.35,49.6,75256163,221679816553.0,1.3,3726.05,3678.48,3678.48,3670.74,1.13,000057,全指成长,上证系列指数
57,000942,内地消费,10835.36,1.33,142.61,27856009,115641785338.0,1.82,10881.08,10686.78,10690.71,10692.75,1.19,000942,内地消费,上证系列指数
58,000146,优势制造,7241.0,1.27,91.11,31329271,72698254533.0,1.69,7258.85,7138.24,7159.14,7149.89,1.01,000146,优势制造,上证系列指数
59,000158,上证环保,1234.48,1.24,15.11,23596965,36802351943.0,2.58,1242.07,1210.6,1218.11,1219.37,1.12,000158,上证环保,上证系列指数
60,000030,180R成长,2488.38,1.2,29.39,134744611,356986736124.0,1.71,2493.84,2451.74,2451.74,2458.99,1.13,000030,180R成长,上证系列指数
61,000075,医药等权,7887.9,1.16,90.24,10102512,44936006531.0,1.99,7943.94,7788.9,7807.29,7797.66,1.04,000075,医药等权,上证系列指数
62,000035,上证可选,3022.8,1.16,34.57,21845593,49700012912.0,1.81,3050.41,2996.19,2996.5,2988.23,0.9,000035,上证可选,上证系列指数
63,000949,中证农业,5636.96,1.15,64.32,12864290,18168983181.0,1.85,5670.15,5567.14,5568.16,5572.64,0.85,000949,中证农业,上证系列指数
64,000856,500工业,6587.76,1.15,75.02,55600817,105514109533.0,1.92,6646.15,6521.18,6545.68,6512.74,1.0,000856,500工业,上证系列指数
65,000689,科创材料,1071.89,1.15,12.16,6488429,22271335181.0,3.07,1076.23,1043.65,1062.37,1059.73,1.0,000689,科创材料,上证系列指数
66,000964,中证新兴,10467.97,1.1,113.42,114267561,484099845272.0,2.87,10528.88,10231.94,10289.98,10354.55,1.0,000964,中证新兴,上证系列指数
67,000857,500医药,11474.46,1.1,124.46,10585456,29522786880.0,1.9,11565.27,11349.24,11354.01,11350.0,0.83,000857,500医药,上证系列指数
68,000969,300非周,5203.06,1.03,53.16,176832569,593070246643.0,2.1,5223.15,5115.25,5127.68,5149.9,1.09,000969,300非周,上证系列指数
69,000867,港中小企,2853.5,1.02,28.74,55203575,56800778173.6,1.53,2877.87,2834.66,2835.71,2824.76,1.14,000867,港中小企,上证系列指数
70,000121,医药主题,9081.92,1.01,90.81,10537657,45683488746.0,1.72,9135.53,8980.77,9002.94,8991.11,0.99,000121,医药主题,上证系列指数
71,000059,全R成长,3247.63,0.98,31.62,250738812,606756280337.0,1.46,3252.68,3205.75,3210.28,3216.01,0.98,000059,全R成长,上证系列指数
72,000064,非周期,3614.93,0.96,34.46,101595315,298729858418.0,1.58,3621.94,3565.19,3566.66,3580.47,1.05,000064,非周期,上证系列指数
73,000106,380工业,5399.8,0.94,50.16,37682827,64957648779.0,1.48,5421.44,5342.39,5360.52,5349.64,1.03,000106,380工业,上证系列指数
74,000855,央视500,1582.47,0.91,14.26,442285167,1087099184784.0,1.42,1588.87,1566.53,1567.66,1568.21,1.08,000855,央视500,上证系列指数
75,000021,180治理,1058.83,0.86,8.99,120506264,189908649139.0,1.39,1067.46,1052.86,1052.86,1049.84,1.3,000021,180治理,上证系列指数
76,000093,180分层,12157.55,0.85,102.06,228451220,452924580547.0,1.04,12200.08,12074.67,12074.67,12055.49,1.18,000093,180分层,上证系列指数
77,000510,中证A500,5372.76,0.84,44.88,472222366,1092272391364.6,1.6,5399.82,5314.52,5324.09,5327.88,1.03,000510,中证A500,上证系列指数
78,000849,300非银,11355.21,0.83,93.73,40759514,88007683805.0,1.97,11515.0,11293.33,11316.18,11261.48,1.11,000849,300非银,上证系列指数
79,000049,上证民企,1977.56,0.83,16.25,35917716,132634328881.0,2.08,1984.43,1943.61,1949.87,1961.31,0.86,000049,上证民企,上证系列指数
80,000078,电信等权,3445.34,0.83,28.47,18247693,31157094426.0,1.57,3459.3,3405.57,3417.26,3416.87,0.76,000078,电信等权,上证系列指数
81,000148,消费领先,10152.41,0.81,81.74,81703043,204205433573.0,1.43,10176.83,10033.3,10033.3,10070.67,1.07,000148,消费领先,上证系列指数
82,000978,医药100,11821.73,0.8,94.03,22421829,77073357827.0,1.58,11903.85,11718.51,11728.79,11727.7,0.93,000978,医药100,上证系列指数
83,000161,沪中国造,1687.77,0.79,13.19,56990056,139799158200.0,1.55,1692.5,1666.58,1677.16,1674.58,0.91,000161,沪中国造,上证系列指数
84,000959,银河99,7819.92,0.79,60.97,125508610,447346999212.0,1.51,7877.56,7760.28,7760.92,7758.95,1.3,000959,银河99,上证系列指数
85,000828,300高贝,2956.91,0.76,22.41,77950849,412518333488.0,2.06,2978.86,2918.43,2929.74,2934.5,1.07,000828,300高贝,上证系列指数
86,000108,380消费,12818.5,0.75,95.15,3980117,7473930140.0,1.54,12928.65,12733.28,12733.28,12723.35,0.87,000108,380消费,上证系列指数
87,000300,沪深300,4496.76,0.74,32.98,351938947,831194066157.9,1.44,4516.84,4452.36,4455.8,4463.78,1.14,000300,沪深300,上证系列指数
88,000019,治理指数,1208.37,0.73,8.72,161839661,253469512261.0,1.19,1217.01,1202.68,1202.68,1199.65,1.19,000019,治理指数,上证系列指数
89,000980,中证超大,3357.97,0.73,24.3,87709915,254493321354.0,1.36,3371.55,3326.05,3326.79,3333.67,1.38,000980,中证超大,上证系列指数
90,000903,中证A100,4264.38,0.72,30.67,160602341,447728826794.4,1.76,4285.57,4210.97,4215.12,4233.71,1.1,000903,中证A100,上证系列指数
91,000073,可选等权,3441.89,0.68,23.21,21845593,49700012912.0,1.82,3466.42,3404.32,3420.19,3418.68,0.9,000073,可选等权,上证系列指数
92,000904,中证200,5417.86,0.67,35.92,185245398,382077859468.0,1.28,5437.13,5368.03,5385.34,5381.94,1.02,000904,中证200,上证系列指数
93,000906,中证800,4923.87,0.67,32.57,632854761,1354235500142.8,1.34,4946.39,4880.97,4888.51,4891.3,1.03,000906,中证800,上证系列指数
94,000010,上证180,9857.33,0.67,65.3,228451220,452924580547.0,1.11,9883.32,9774.91,9774.91,9792.03,1.18,000010,上证180,上证系列指数
95,000846,ESG 100,1389.52,0.67,9.26,140474286,279605844435.0,1.12,1397.11,1381.69,1382.76,1380.26,1.23,000846,ESG 100,上证系列指数
96,000065,上证龙头,3596.24,0.63,22.34,135098241,249053134264.0,0.82,3606.52,3577.32,3579.54,3573.9,1.07,000065,上证龙头,上证系列指数
97,000004,工业指数,3450.75,0.62,21.19,440982751,915074808767.2,1.13,3455.46,3416.54,3426.04,3429.56,0.89,000004,工业指数,上证系列指数
98,000970,ESG 40,1781.14,0.6,10.7,57699872,83212083644.0,1.26,1797.43,1775.21,1775.3,1770.44,1.21,000970,ESG 40,上证系列指数
99,000097,高端装备,10562.14,0.6,62.8,41630968,214061378499.0,2.12,10576.56,10353.75,10431.4,10499.34,0.99,000097,高端装备,上证系列指数
100,000125,180稳定,11808.62,0.6,69.86,123918285,154978893330.0,1.18,11905.75,11767.58,11767.58,11738.76,1.4,000125,180稳定,上证系列指数
101,000109,380医药,11258.7,0.59,66.24,6589370,19057119557.0,1.32,11331.07,11183.69,11239.26,11192.46,0.93,000109,380医药,上证系列指数
102,000907,中证700,6155.73,0.57,34.63,466161212,905119293351.0,1.22,6181.84,6107.31,6131.51,6121.1,0.97,000907,中证700,上证系列指数
103,000891,新兴综指,1802.9,0.56,9.97,629458358,1608584021401.0,2.16,1813.09,1774.39,1789.96,1792.93,0.89,000891,新兴综指,上证系列指数
104,000003,Ｂ股指数,265.88,0.55,1.46,637756,260136251.0,0.95,267.21,264.71,264.81,264.42,0.55,000003,Ｂ股指数,上证系列指数
105,000155,市值百强,3239.56,0.55,17.8,158337870,378547950522.0,1.06,3251.03,3216.93,3216.93,3221.76,1.23,000155,市值百强,上证系列指数
106,000806,消费服务,9145.57,0.54,49.35,91389054,249160027737.0,1.27,9176.88,9061.05,9063.5,9096.22,1.13,000806,消费服务,上证系列指数
107,000966,基本400,8253.18,0.54,43.98,230293957,443004123860.0,0.97,8300.23,8220.4,8228.59,8209.2,0.93,000966,基本400,上证系列指数
108,000016,上证50,2976.47,0.53,15.74,84761466,226530507719.0,1.15,2989.0,2954.93,2954.93,2960.73,1.23,000016,上证50,上证系列指数
109,000971,等权90,3215.96,0.52,16.61,149276087,507740484899.0,1.61,3232.17,3180.79,3189.4,3199.35,1.15,000971,等权90,上证系列指数
110,000984,300等权,4547.77,0.51,23.3,351938947,831194066111.0,1.06,4566.93,4518.77,4523.3,4524.47,1.14,000984,300等权,上证系列指数
111,000114,持续产业,1192.1,0.49,5.82,22209348,31924997668.0,1.01,1196.23,1184.23,1186.35,1186.28,1.08,000114,持续产业,上证系列指数
112,000044,上证中盘,4521.37,0.48,21.76,143689754,226394072828.0,0.89,4542.92,4503.07,4503.75,4499.61,1.16,000044,上证中盘,上证系列指数
113,000137,380高贝,5741.31,0.48,27.17,23999515,96073369086.0,2.25,5767.43,5639.12,5731.01,5714.14,1.02,000137,380高贝,上证系列指数
114,000905,中证500,7043.94,0.47,32.78,280915814,523041433984.9,1.26,7078.92,6990.75,7030.27,7011.16,0.93,000905,中证500,上证系列指数
115,000051,180等权,9137.39,0.45,41.18,228451220,452924580547.0,0.84,9174.78,9098.41,9098.59,9096.21,1.18,000051,180等权,上证系列指数
116,000047,上证全指,3864.11,0.45,17.32,405965989,748354231997.0,0.77,3874.88,3845.42,3845.42,3846.79,1.05,000047,上证全指,上证系列指数
117,000054,上证海外,1531.81,0.45,6.92,94898107,147399078869.0,1.55,1549.82,1526.25,1526.35,1524.89,1.22,000054,上证海外,上证系列指数
118,000120,380R价值,9308.43,0.44,40.46,124655719,186214477094.0,0.72,9341.79,9275.07,9296.11,9267.97,0.99,000120,380R价值,上证系列指数
119,000135,180高贝,6260.4,0.42,26.33,46478237,225035204656.0,1.2,6296.5,6221.62,6231.41,6234.07,1.06,000135,180高贝,上证系列指数
120,000132,上证100,5886.8,0.41,24.11,19453946,62769134173.0,1.2,5897.85,5827.55,5868.85,5862.69,0.95,000132,上证100,上证系列指数
121,000123,180动态,6961.93,0.41,28.54,103018253,294349635078.0,1.35,6984.62,6890.75,6898.02,6933.39,1.0,000123,180动态,上证系列指数
122,000131,上证高新,4040.83,0.4,16.07,9570598,83100328225.0,3.56,4068.0,3924.8,4007.1,4024.76,0.86,000131,上证高新,上证系列指数
123,000056,上证国企,1200.06,0.4,4.78,100922561,161755964049.0,1.17,1212.25,1198.22,1198.22,1195.28,1.3,000056,上证国企,上证系列指数
124,000067,上证新兴,8496.22,0.4,33.79,47964730,211859628133.0,1.65,8514.99,8375.64,8409.57,8462.43,0.99,000067,上证新兴,上证系列指数
125,000099,上证F300,8825.61,0.39,33.9,132342778,250125364470.0,0.77,8860.82,8793.2,8799.75,8791.71,0.95,000099,上证F300,上证系列指数
126,000046,上证中小,5022.44,0.38,19.25,321204523,521823724278.0,0.81,5038.67,4998.14,5007.82,5003.19,1.01,000046,上证中小,上证系列指数
127,000989,全指可选,5575.98,0.37,20.47,50928673,126889837828.1,2.08,5631.41,5516.02,5529.86,5555.51,0.94,000989,全指可选,上证系列指数
128,000002,Ａ股指数,4043.81,0.37,14.76,738493468,1219090539756.0,0.74,4054.14,4024.37,4028.24,4029.05,0.93,000002,Ａ股指数,上证系列指数
129,000001,上证指数,3857.93,0.37,14.33,739462366,1221691851556.0,0.74,3867.61,3839.21,3842.82,3843.6,0.93,000001,上证指数,上证系列指数
130,000888,上证综合全收益,4390.49,0.37,16.32,739462366,1221691851556.0,0.74,4401.5,4369.18,4373.3,4374.17,0.93,000888,上证综合全收益,上证系列指数
131,000017,新综指,3260.76,0.37,12.11,726316439,1203479461752.0,0.74,3268.93,3244.91,3247.99,3248.65,0.93,000017,新综指,上证系列指数
132,000902,中证流通,6081.61,0.36,21.7,1614301900,2786669327141.0,1.21,6113.45,6040.37,6058.74,6059.91,0.9,000902,中证流通,上证系列指数
133,000048,责任指数,1473.22,0.36,5.23,66825329,119967612892.0,1.5,1493.9,1471.91,1472.68,1467.99,1.26,000048,责任指数,上证系列指数
